HE,settlement_point,spp
1:00,7RNCHSLR_ALL,32.02
1:00,ABINDUST_RN,32.34
1:00,ADL_RN,30.23
1:00,AEEC,33.73
1:00,AE_RN,30.32
1:00,AGUAYO_UNIT1,28.26
1:00,AJAXWIND_RN,30.87
1:00,ALGOD_ALL_RN,31.53
1:00,ALP_BESS_RN,64.35
1:00,ALVIN_RN,30.22
1:00,AMADEUS_ALL,30.97
1:00,AMISTAD_ALL,73.54
1:00,AMOCOOIL_CC1,30.21
1:00,AMOCOOIL_CC2,30.21
1:00,AMOCO_PUN1,30.21
1:00,AMOCO_PUN2,30.21
1:00,AMO_AMOCO_1,30.21
1:00,AMO_AMOCO_2,30.21
1:00,AMO_AMOCO_5,30.21
1:00,AMO_AMOCO_G1,30.21
1:00,AMO_AMOCO_G2,30.21
1:00,AMO_AMOCO_G3,30.21
1:00,AMO_AMOCO_S1,30.21
1:00,AMO_AMOCO_S2,30.21
1:00,ANACACHO_ANA,55.65
1:00,ANCHOR_ALL,30.18
1:00,ANDMDSLR_ALL,30.97
1:00,ANEM_ESS_RN,31.65
1:00,ANG_ALL,21.91
1:00,ANOL_ESS_RN,30.17
1:00,ANSON1_ALL,31.07
1:00,ANTL_ESS_ES1,82.27
1:00,APPALOSA_ALL,166.66
1:00,AQUI_ALL,30.2
1:00,ARAGORN_RN,73.24
1:00,ASCK_SLR_RN,30.2
1:00,ASTRA_RN,32.33
1:00,ATK_ATKINSG7,30.16
1:00,AURO_SLR_RN,30.02
1:00,AUSTPL_ALL,30.15
1:00,AVIAT_ALL,26.19
1:00,AZSP_SLR_RN,30.21
1:00,AZURE_RN,30.92
1:00,AZ_ALL,30.23
1:00,BAC_RN_ALL,30.21
1:00,BAFFIN_ALL,31.6
1:00,BAIRDWND_ALL,30.89
1:00,BAKE_RN_ALL,30.28
1:00,BARROW_ALL,59.65
1:00,BASTEN_CC1,30.26
1:00,BASTEN_CCU,30.26
1:00,BATCAVE_RN,29.76
1:00,BAYC_BESS_RN,32.71
1:00,BBREEZE_1_2,31.63
1:00,BCATWD_WD_1,30.52
1:00,BCH_RN,30.32
1:00,BCK_RN,30.22
1:00,BELM_SLR_RN,29.97
1:00,BIGSTAR_ALL,30.28
1:00,BKSL_RN,31.66
1:00,BLACKJAK_RN,31.54
1:00,BLSMT1_5_A_6,31.2
1:00,BLUEJAY_RN,30.17
1:00,BLVN_RN,29.99
1:00,BOARDCRK_ALL,30.18
1:00,BOCO_ESS_RN,40.52
1:00,BOOTLEG_UN1,69.75
1:00,BORDAS_345,31.66
1:00,BOSQUESW_CC1,30.06
1:00,BOSQUESW_CC2,30.07
1:00,BOSQ_BSQSU_5,30.07
1:00,BOSQ_BSQS_12,30.07
1:00,BOSQ_BSQS_34,30.06
1:00,BRANDON_RN,35.11
1:00,BRAUNIG_CC1,30.98
1:00,BRAUNIG_VHB1,31.17
1:00,BRAUNIG_VHB2,31.17
1:00,BRAUNIG_VHB3,31.3
1:00,BRAZ_WND_ALL,34.45
1:00,BRA_AVR1_CT2,30.98
1:00,BRA_AVR_CST1,30.98
1:00,BRHEIGHT_RN,30.21
1:00,BRIGHTSD_RN,31.8
1:00,BRIGHTSD_U1,31.79
1:00,BRISCOE_WIND,32.04
1:00,BRPANGLE_RN,30.41
1:00,BRPMAGNO_RN,30.22
1:00,BRP_BRAZ_RN,30.44
1:00,BRP_DIKN_RN,30.21
1:00,BRP_LOOP_RN,32.09
1:00,BRP_LOP1_RN,31.72
1:00,BRP_PBL1_RN,37.33
1:00,BRP_PBL2_RN,37.33
1:00,BRP_RN_UNIT1,31.2
1:00,BRP_SWNY_RN,30.44
1:00,BRP_ZPT1_RN,31.77
1:00,BRP_ZPT2_RN,31.77
1:00,BRTSW_BCW1,30.26
1:00,BR_ARROW_ALL,30.26
1:00,BR_VHB6CT5_6,31.17
1:00,BR_VHB6CT7_8,31.17
1:00,BSS_U1,30.44
1:00,BTE_BTE_G1,30.23
1:00,BTE_BTE_G2,30.23
1:00,BTE_BTE_G3,30.23
1:00,BTE_BTE_G4,30.23
1:00,BTE_CC1,30.23
1:00,BTE_PUN1,30.23
1:00,BTE_PUN2,30.23
1:00,BTM_ALL,30.3
1:00,BUCHAN_ALL,29.87
1:00,BUCKTHRN_RN,30.02
1:00,BUFF_GAP_ALL,28.31
1:00,BULLCRK_1_2,32.68
1:00,BVE_CC1,30.23
1:00,BVE_UNIT1,30.23
1:00,BVE_UNIT2,30.23
1:00,BVE_UNIT3,30.23
1:00,BYRDR_ES_ALL,30.44
1:00,BYU_BYU_1,30.21
1:00,BYU_BYU_12,30.21
1:00,BYU_BYU_34,30.21
1:00,BYU_CC1,30.21
1:00,BYU_G4_RN,30.21
1:00,BYU_PUN1,30.21
1:00,BYU_PUN2,30.21
1:00,BYU_PUN3,30.21
1:00,BYU_PUN4,30.21
1:00,B_DAVIS_3,31.59
1:00,B_DAVIS_4,31.59
1:00,B_DAVIS_CC1,31.59
1:00,B_D_B_DAVIG1,31.59
1:00,B_D_B_DAVIG2,31.59
1:00,CABEZON_ALL,31.63
1:00,CACH_ESS_RN,30.65
1:00,CALAVER_JKS1,31
1:00,CALAVER_JKS2,31
1:00,CALAVER_JTD1,31.16
1:00,CALAVER_JTD2,31.16
1:00,CALAVER_OWS1,31.15
1:00,CALAVER_OWS2,31.15
1:00,CALHOUN_ALL,32.4
1:00,CALLAHA_WND1,31.18
1:00,CAL_CALGT1,30.23
1:00,CAL_CALSTG1,30.23
1:00,CAL_CC1,30.23
1:00,CAL_PUN1,30.23
1:00,CAL_PUN2,30.23
1:00,CAMWIND_RN,31.63
1:00,CANYONWD_ALL,31.31
1:00,CAPRIDG4_CR4,26.19
1:00,CAPRIDGE_ALL,26.19
1:00,CARBN_BSP_1,49.95
1:00,CARN_ESS_RN,31.59
1:00,CASL_GAP_UN1,74.92
1:00,CATARINA_B1,44.5
1:00,CBECII_89,30.22
1:00,CBECII_CC3,30.22
1:00,CBECII_CT7,30.22
1:00,CBEC_ALL,31.03
1:00,CBEC_CC1,31.03
1:00,CBEC_CC2,31.03
1:00,CBY4_ALL,30.23
1:00,CBY4_CC1,30.23
1:00,CBY_CBY_G1,30.23
1:00,CBY_CBY_G2,30.23
1:00,CCEC_CC1,31.59
1:00,CCEC_GT1,31.59
1:00,CCEC_GT2,31.59
1:00,CCEC_PUN1,31.59
1:00,CCEC_PUN2,31.59
1:00,CCEC_ST1,31.59
1:00,CEDROHI_CHW1,31.75
1:00,CEDRVALE_RN,73.05
1:00,CFLATS_UNIT,29.76
1:00,CHALUP_ALL,31.63
1:00,CHAL_SLR_RN,73.27
1:00,CHAMON_UN1,30.23
1:00,CHAMON_UN2,30.23
1:00,CHEDPW_GT2,30.23
1:00,CHE_CC1,30.24
1:00,CHE_LYD,30.24
1:00,CHE_LYD2,30.24
1:00,CHE_PUN1,30.24
1:00,CHE_PUN2,30.24
1:00,CHIL_SLR,29.98
1:00,CHISMGRD_RN,30.29
1:00,CISC_RN,30.95
1:00,CITRUSCY_RN,31.66
1:00,CITYVICT_ALL,32.04
1:00,CLO_RN,30.24
1:00,CMPD_SLR_RN,30.21
1:00,CNLY_ESS_RN,30.31
1:00,CNTRY_RN,30.16
1:00,CN_BRKS_UNT1,32.25
1:00,COL_COLETOG1,31.73
1:00,CONIGLIO_RN,30.27
1:00,CONTINEN_RN,31.65
1:00,CORALSLR_ALL,30.08
1:00,CORAZON_RN,31.67
1:00,COTPLNS_RN,32.12
1:00,COTTON_PAP2,31.59
1:00,COYOTSPR_AGR,73.49
1:00,COYOTSPR_RN,73.49
1:00,CPSES_UNIT1,30.06
1:00,CPSES_UNIT2,30.06
1:00,CRANELL_ALL,31.54
1:00,CRAWFISH_RN,32.28
1:00,CROSSETT_ALL,75.29
1:00,CRWN_SLR_UN1,30.02
1:00,CR_RN,30.24
1:00,CSC_CSECG1_2,33.71
1:00,CS_RN,30.23
1:00,CTW_RN,30.29
1:00,CVC_CC1,30.23
1:00,CVC_CVCG1_5,30.23
1:00,CVC_CVC_G2,30.23
1:00,CVC_CVC_G3,30.23
1:00,DAG_ALL,30.57
1:00,DANSBY_ALL,30.16
1:00,DAN_ALL,30.2
1:00,DA_BESS,30.42
1:00,DA_BESS2,30.42
1:00,DC2SES_ALL,30.09
1:00,DC_E,30.27
1:00,DC_L,31.83
1:00,DC_N,31.06
1:00,DC_R,31.6
1:00,DDPEC_CC1,30.21
1:00,DDPEC_GT1,30.21
1:00,DDPEC_GT2,30.21
1:00,DDPEC_GT3,30.21
1:00,DDPEC_GT4,30.21
1:00,DDPEC_GT6,30.21
1:00,DDPEC_ST1,30.21
1:00,DECKER_GT,30.16
1:00,DENISON_G1_2,30.29
1:00,DERMOTT_ALL,30.97
1:00,DGFS_ESR_RN,76.19
1:00,DIBOL_RN,30.21
1:00,DIB_CC1,30.22
1:00,DIB_DIB_G1,30.22
1:00,DIB_DIB_G2,30.22
1:00,DIB_DIB_G3,30.22
1:00,DIB_DIB_G4,30.22
1:00,DIB_PUN1,30.22
1:00,DIB_PUN2,30.22
1:00,DILEOS_UNIT1,30.03
1:00,DKNS_ESS_RN,31.66
1:00,DMA_RN,30.55
1:00,DOWGEN_PUN1,30.22
1:00,DOWGEN_PUN2,30.22
1:00,DOWGEN_PUN3,30.22
1:00,DOW_61_2_63,30.22
1:00,DOW_64,30.22
1:00,DOW_81_2_84,30.22
1:00,DOW_G37_G35,30.22
1:00,DOW_G66_ST65,30.22
1:00,DOW_G67,30.22
1:00,DOW_G96_ST95,30.22
1:00,DRYFRIO_RN,39.39
1:00,DSWL_BES1,30.13
1:00,DUKE_CC1,31.66
1:00,DUKE_GST1CCU,31.66
1:00,DUKE_GT2_CCU,31.66
1:00,DUP_PUN1,32.09
1:00,DUP_PUN2,32.09
1:00,DUP_PUN3,32.09
1:00,DUP_PUN4,32.09
1:00,EBELLS_UNIT1,30.04
1:00,EBNY_ESS_RN,30.97
1:00,ECLIPSE_UN1,61.98
1:00,EIFSLR_UNIT1,30.28
1:00,ELB_ELBCREEK,45.95
1:00,ELECTRAW_1_2,31.02
1:00,ELMCRK_RN,32.35
1:00,ELSAUZ_ALL,31.63
1:00,ELSA_ESR_RN,31.65
1:00,ELS_RN_1,30.14
1:00,ELZA_SLR_RN,30.24
1:00,EL_RAYO_ALL,31.63
1:00,EMPCT_RN,30.22
1:00,ENDPARK_ESS1,30.16
1:00,ERSL_RN,35.07
1:00,ESTONIAN_ALL,30.25
1:00,ETCCS_CC1,25.08
1:00,ETCCS_CCU,25.08
1:00,EUNICE_ALL,57.34
1:00,EVLN_ESS_RN,30.21
1:00,EXGNSND_RN,31.77
1:00,EXGNWTL_1,31.75
1:00,EXN_14,30.23
1:00,EXN_1_3,30.23
1:00,EXN_4,30.23
1:00,EXN_8,30.23
1:00,EXN_9_13,30.23
1:00,EXN_PUN1,30.23
1:00,EXN_PUN2,30.23
1:00,EXN_PUN3,30.23
1:00,E_BLACK_RN,30.07
1:00,FAGUSSLR_RN,31.53
1:00,FALFUR_RN,31.71
1:00,FALFUR_RN2,31.71
1:00,FAL_FALCONG1,31.69
1:00,FAL_FALCONG2,31.69
1:00,FAL_FALCONG3,31.69
1:00,FAULKNER_RN,73.49
1:00,FEGC_RN,30.25
1:00,FENCESLR_ALL,30.19
1:00,FERGCC_CC1,29.81
1:00,FERGCC_GT1_1,29.81
1:00,FERGCC_GT2_3,29.81
1:00,FERGCC_ST1_5,29.81
1:00,FERMI_ALL,82.27
1:00,FILESSLR_PV1,30.19
1:00,FIVEWSLR_ALL,29.98
1:00,FLCNS_CC1,56.68
1:00,FLCNS_UNIT1,56.68
1:00,FLCNS_UNIT2,56.68
1:00,FLCNS_UNIT3,56.68
1:00,FLOWERII_RN,73.96
1:00,FLTBES1,73.96
1:00,FLTCK_SSI,30.29
1:00,FLUVANNA_1_2,30.16
1:00,FLVABES1_ESR,73.96
1:00,FOARDCTY_ALL,31.21
1:00,FORMOSA_CC1,32.44
1:00,FORMOSA_CC2,32.44
1:00,FORMOSA_PUN1,32.44
1:00,FORMOSA_PUN2,32.44
1:00,FORTMA_RN,29.76
1:00,FOXTROT_ALL,31.43
1:00,FO_FORMOSA11,32.44
1:00,FO_FORMOSA12,32.44
1:00,FO_FORMOSG1,32.44
1:00,FO_FORMOSG10,32.44
1:00,FO_FORMOSG13,32.44
1:00,FO_FORMOSG14,32.44
1:00,FO_FORMOSG15,32.44
1:00,FO_FORMOSG2,32.44
1:00,FO_FORMOSG3,32.44
1:00,FO_FORMOSG4,32.44
1:00,FO_FORMOSG5,32.44
1:00,FO_FORMOSG6,32.44
1:00,FO_FORMOSG7,32.44
1:00,FO_FORMOSG8,32.44
1:00,FO_FORMOSG9,32.44
1:00,FPPYD_FPP_G1,30.32
1:00,FPPYD_FPP_G2,30.32
1:00,FPPYD_FPP_G3,30.32
1:00,FREC_1_CCU,30.19
1:00,FREC_2_CCU,30.19
1:00,FREC_CC1,30.19
1:00,FREC_CC2,30.19
1:00,FRMRSVLW_RN,30.26
1:00,FRMR_BS2_RN1,30.26
1:00,FRNYPP_1_CCU,30.23
1:00,FRNYPP_2_CCU,30.23
1:00,FRNYPP_CC1,30.23
1:00,FRNYPP_CC2,30.23
1:00,FRONT_EC_CC1,31.66
1:00,FRONT_EC_RN1,31.66
1:00,FRONT_EC_RN2,31.66
1:00,FRONT_EC_RN3,31.66
1:00,FRYE_SLR_ALL,32.15
1:00,FTDUNCAN_RN,37.33
1:00,FTR_CC1,30.19
1:00,FTR_FTR_G1_4,30.19
1:00,FTWIND_UNIT1,28.6
1:00,FWLR_SLR_1,74.41
1:00,GALO_RN1,25.27
1:00,GAMBIT_RN,30.41
1:00,GARC_BESS_RN,31.66
1:00,GBY_GT,30.23
1:00,GID_GIDEONG1,30.21
1:00,GID_GIDEONG2,30.21
1:00,GID_GIDEONG3,30.21
1:00,GIGA_ESS_RN,30.13
1:00,GKS_BESS_RN,31.65
1:00,GOA_GOATWIND,27.87
1:00,GOLINDA_UN1,30.02
1:00,GOMZ_RN,74.69
1:00,GOODNIT1_ALL,32.04
1:00,GPASTURE_ALL,22.19
1:00,GRANDVW1_A_B,32.04
1:00,GRAN_SLR_RN,30.05
1:00,GRDNE_ESR_RN,49.93
1:00,GREASWOD_ALL,69.95
1:00,GREGORY_RN,31.66
1:00,GRIF_TRL_RN,31.1
1:00,GRIM_SLR_RN,30.18
1:00,GRSES_UNIT1,30.26
1:00,GRSES_UNIT2,30.41
1:00,GUADG_CC1,30.67
1:00,GUADG_CC2,30.67
1:00,GUADG_CCU1,30.67
1:00,GUADG_CCU2,30.67
1:00,GUNMTN_NODE,50.52
1:00,GWEC_G1,29.4
1:00,GZ_RN,30.23
1:00,HALO_RN1,30
1:00,HAMI_BESS_RN,73.54
1:00,HAYSEN1_2,30.47
1:00,HAYSEN3_4,30.47
1:00,HB_BUSAVG,31.14
1:00,HB_HOUSTON,30.22
1:00,HB_HUBAVG,32.05
1:00,HB_NORTH,30.19
1:00,HB_PAN,32.02
1:00,HB_SOUTH,30.74
1:00,HB_WEST,37.05
1:00,HDNLAKES_RN,30.21
1:00,HEARN_RD_RN,31.61
1:00,HELIOS_RN,40.73
1:00,HHGT_KENDAL,29.65
1:00,HHOLLW2_WND1,28.31
1:00,HHOLLW3_WND1,28.31
1:00,HHOLLW4_WND1,28.31
1:00,HICK_G1_G2,31.06
1:00,HI_LONEB_RN1,34.65
1:00,HI_LONE_ALL,34.65
1:00,HLSES_UNIT3,30.21
1:00,HLSES_UNIT4,30.21
1:00,HLSES_UNIT5,30.21
1:00,HLY_RN,30.23
1:00,HMNG_ESS_RN,30.4
1:00,HOLCOMB_RN1,32.6
1:00,HOLSTEIN_ALL,29
1:00,HOL_ALL,30.21
1:00,HOPKNSLR_ALL,30.26
1:00,HORSCR_RN,77.11
1:00,HORSECRK_RN,31.02
1:00,HOUSEMTN_RN,74.05
1:00,HOVEY_GEN,72.72
1:00,HRBESS_BESS,72.83
1:00,HRFDWIND_ALL,32.33
1:00,HRNT_SLR_RN,32.36
1:00,HRZN_SLR_UN1,34.55
1:00,HV_BESS1_RN,30.23
1:00,HWF_HWFG1,30.29
1:00,HYDR_ESS_RN,69.75
1:00,H_HOLLO_WND1,28.31
1:00,IMP_RN1,30.28
1:00,INDNENR_1_RN,85.38
1:00,INDNENR_2_RN,81.44
1:00,INDNNWP_RN,82.97
1:00,IND_INADALE1,30.94
1:00,INGLCOSW_CC1,31.61
1:00,INGLCOSW_STG,31.61
1:00,INGLCOS_CTG1,31.61
1:00,INGLCOS_CTG2,31.61
1:00,INGLCO_PUN1,31.61
1:00,INGLCO_PUN2,31.61
1:00,INGLCO_PUN3,31.61
1:00,INKS_INKS_G1,29.8
1:00,INRT_W_ALL,30.97
1:00,JACKCNTY_CC1,30.3
1:00,JACKCNTY_CT1,30.3
1:00,JACKCNTY_CT2,30.3
1:00,JACKCNTY_STG,30.3
1:00,JADE_SLR_ALL,31
1:00,JAD_RN,30.23
1:00,JAG_SLR_RN,30.12
1:00,JAR_RN,30.22
1:00,JAY_RN_1,30.22
1:00,JCKCNTY2_CC1,30.4
1:00,JCKCNTY2_CT3,30.4
1:00,JCKCNTY2_CT4,30.4
1:00,JCKCNTY2_ST2,30.4
1:00,JC_BAT_RN,29.9
1:00,JDKNS_RN,50.71
1:00,JKLP_SLR_RN,31.6
1:00,JUNCTION_RN,80.47
1:00,JUNG_SLR_RN,30.09
1:00,JUNORTH_RN,80.47
1:00,JUNO_ALL,40.52
1:00,KARAKAW1_1,31.51
1:00,KARAKAW2_1,31.51
1:00,KEECHI_U1,30.3
1:00,KELAMSL_U1,30.28
1:00,KEO_KEO_SM1,77.1
1:00,KINGE_ALL,77.45
1:00,KINGW_ALL,75.25
1:00,KMCHI_CC1,30.28
1:00,KMCHI_CC2,30.28
1:00,LACASAWD_RN,30.48
1:00,LACY_CRK_ALL,45.16
1:00,LAMESASLR_G,64.35
1:00,LAPETUS_U1,59.48
1:00,LARDVFTN_G4,31.83
1:00,LARDVFTN_G5,31.83
1:00,LASSO_GEN,74.05
1:00,LAUR_BESS_RN,31.63
1:00,LBRA_BES1,30.8
1:00,LEG_LEG_G1,30.16
1:00,LEG_LEG_G2,30.16
1:00,LEONLCPCT1_2,31.33
1:00,LEONLCPCT3_4,31.33
1:00,LFSTH_RN,30.21
1:00,LGDRAW_S_ALL,40.52
1:00,LGD_LANGFORD,50.95
1:00,LGE_CC1,31.61
1:00,LGE_LGE_GT1,31.61
1:00,LGE_LGE_GT2,31.61
1:00,LGE_LGE_STG,31.61
1:00,LGW_UNIT_ALL,29.05
1:00,LHM_CVC_G4,30.23
1:00,LHM_PUN1,30.23
1:00,LHM_PUN2,30.23
1:00,LHORN_N_U1_2,32.04
1:00,LHSES_UNIT1,30.24
1:00,LHSES_UNIT2,30.24
1:00,LIGSW_RN,30.22
1:00,LIG_RN,30.23
1:00,LILY_RN,30.16
1:00,LMAJADAS_ALL,31.62
1:00,LMO_ESR_RN,30.19
1:00,LNCRK_ALL,30.25
1:00,LONESTAR_RN,71.58
1:00,LONEWOLF_ALL,32.06
1:00,LON_RN1,30.29
1:00,LOSTPI_CC1,30.26
1:00,LOS_LOSTPGT1,30.26
1:00,LOS_LOSTPGT2,30.26
1:00,LOS_LOSTPST1,30.26
1:00,LOWR_ESS_RN,31.65
1:00,LPCCS_CC1,30.28
1:00,LPCCS_CC2,30.06
1:00,LPCCS_CT11,30.28
1:00,LPCCS_CT12,30.28
1:00,LPCCS_CT21,30.28
1:00,LPCCS_CT22,30.28
1:00,LPCCS_UNIT1,30.28
1:00,LPCCS_UNIT2,30.28
1:00,LV1A_LV1B,31.62
1:00,LV3_RN,31.66
1:00,LV3_UNIT1,31.67
1:00,LV4_UNIT_1,31.67
1:00,LV5_UNIT1,31.64
1:00,LZ_AEN,30.11
1:00,LZ_CPS,31.14
1:00,LZ_HOUSTON,30.22
1:00,LZ_LCRA,30.83
1:00,LZ_NORTH,30.19
1:00,LZ_RAYBN,30.26
1:00,LZ_SOUTH,32.13
1:00,LZ_WEST,59.75
1:00,L_FRE_ESR_RN,31.63
1:00,MADERO_RN,31.66
1:00,MAINLAND_RN,30.21
1:00,MAND_SLR_RN,30.03
1:00,MARBFA,29.81
1:00,MARIAH_ALL,32.33
1:00,MAR_MARSFOG1,30.11
1:00,MAR_MARSFOG2,30.11
1:00,MAR_MARSFOG3,30.11
1:00,MASSENGL_CC1,34.42
1:00,MASSENGL_G6,34.99
1:00,MASSENGL_G7,34.99
1:00,MASSENGL_G8,33.88
1:00,MAVCRK_W_ALL,25.27
1:00,MCDLD_FCSBW1,47.06
1:00,MCLNSLR_RN,37.41
1:00,MCSES_UNIT6,30.21
1:00,MCSES_UNIT7,30.21
1:00,MCSES_UNIT8,30.21
1:00,MDANP_CT1_2,30.13
1:00,MDANP_CT3_4,30.14
1:00,MDANP_CT5_6,30.13
1:00,MEDILA_RN,31.54
1:00,MERCURY_ALL,30.2
1:00,MESQCRK_ALL,40.52
1:00,MESTENO_RN,31.67
1:00,MGSES_CT123,38.19
1:00,MGSES_CT456,38.19
1:00,MIAM1_G1_G2,31.92
1:00,MIDWY_RN,63.8
1:00,MILTON_RN,31.63
1:00,MIL_MILG1_2,30.11
1:00,MIL_MILG345,30.11
1:00,MIRAGE_G1,30.21
1:00,MIRASOLE_GEN,31.65
1:00,MISAE_GEN_RN,31.53
1:00,MLSES_UNIT1,30.23
1:00,MLSES_UNIT2,30.23
1:00,MLSES_UNIT3,30.23
1:00,MNWL_BESS_RN,30.17
1:00,MONT_WND_RN,31.16
1:00,MOORE_FL_RN,31.66
1:00,MOZART_WIND1,34.39
1:00,MRKM_SLR_RN,30.01
1:00,MROW_SLR_RN,34.55
1:00,MUENSTER_RN,30.4
1:00,MUSTNGCK_ALL,32.3
1:00,MU_RN,30.25
1:00,MV_VALV4_RN,31.65
1:00,MWEC_G1,33.61
1:00,MYRY_BES2_RN,31.66
1:00,MYRY_ESR_RN,31.66
1:00,MYR_ALL,30.32
1:00,NACPW_UNIT1,30.27
1:00,NBOHR_RN,45.39
1:00,NCARBIDEG8,32.18
1:00,NCARBIDE_1_7,32.18
1:00,NCARBID_PUN1,32.18
1:00,NCARBID_PUN2,32.18
1:00,NCO_RN,30.44
1:00,NEBULA_RN,35.64
1:00,NEDIN_CC1,31.66
1:00,NED_NEDIN_G1,31.66
1:00,NED_NEDIN_G2,31.66
1:00,NED_NEDIN_G3,31.66
1:00,NF_BRP_RN,29.98
1:00,NOBLESLR_ALL,30.4
1:00,NOVA1SLR_ALL,31.3
1:00,NOVA2S_UNIT1,31.3
1:00,NUECES_B_CC1,31.59
1:00,NUE_NUECESG7,31.59
1:00,NUE_NUECESG8,31.59
1:00,NUE_NUECESG9,31.59
1:00,NWF_NWF1,62.09
1:00,N_AL_BESS_RN,31.65
1:00,N_MRD_ESR_RN,31.64
1:00,OBERON_U1,65.75
1:00,ODESW_RN,54.3
1:00,OECCS_1,53.38
1:00,OECCS_2,53.38
1:00,OECCS_CC1,53.38
1:00,OECCS_CC2,53.38
1:00,OGSES_1,30.14
1:00,OGSES_2,30.14
1:00,OGS_SLR_RN,31.69
1:00,OLIN_OLING_1,30.25
1:00,OLIN_OLING_2,30.25
1:00,OLIN_OLING_3,30.25
1:00,OLIN_OLING_4,30.25
1:00,OLNEYTN_AGR1,30.4
1:00,OLNEYTN_RN,30.4
1:00,ORIANA_RN,32.15
1:00,OR_BESS_RN,30.55
1:00,OUTP_SLR_RN,31.61
1:00,OWF_OWF,47.02
1:00,OXY_OXY_CCG1,31.59
1:00,OXY_PUN1,31.59
1:00,OXY_PUN2,31.59
1:00,PAD1_ESS_RN,31.15
1:00,PALACIOS_RN,32.84
1:00,PALE_ESS_EN,33.73
1:00,PALMWI_UNIT1,31.63
1:00,PANDA_S_CC1,30.29
1:00,PANDA_S_CT1,30.29
1:00,PANDA_S_CT2,30.29
1:00,PANDA_S_ST1,30.29
1:00,PANDA_T1_CC1,29.92
1:00,PANDA_T1_CT1,29.92
1:00,PANDA_T1_CT2,29.92
1:00,PANDA_T1_ST1,29.92
1:00,PANDA_T2_CC1,29.92
1:00,PANDA_T2_CT1,29.92
1:00,PANDA_T2_CT2,29.92
1:00,PANDA_T2_ST1,29.92
1:00,PAP1_PAP1,31.59
1:00,PAR_RN,30.22
1:00,PAULN_RN,30.27
1:00,PAVLOV_BT_RN,33.16
1:00,PAVO_ESS_ALL,77.1
1:00,PB2SES_CT1,76.77
1:00,PB2SES_CT2,76.77
1:00,PB2SES_CT3,76.77
1:00,PB2SES_CT4,76.77
1:00,PB2SES_CT5,76.77
1:00,PCT_RN,30.15
1:00,PC_NORTH_1,45.95
1:00,PC_SOUTH_ALL,45.95
1:00,PEARSALL_RN,34.55
1:00,PEARSA_1_24,34.55
1:00,PENA_ALL,31.6
1:00,PERE_SLR_RN,31.56
1:00,PEY_RN,30.15
1:00,PH1_UNIT1_2,31.98
1:00,PH2_U1_U2,31.98
1:00,PHILLWND_ALL,30.09
1:00,PHOEBE_ALL,65.42
1:00,PHOENIX_RN,30.27
1:00,PHO_ALL,30.22
1:00,PIONR_DJ_RN,53.09
1:00,PIRATE_RN,31.68
1:00,PISG_RN_ALL,30.18
1:00,PITSDD_UNIT1,30.14
1:00,PLATINUM_RN,30.28
1:00,PLN_ALL,30.2
1:00,PNPI_GT2_RN,30.29
1:00,PORTSL_UNIT1,30.4
1:00,POTSVIL_RN,29.67
1:00,PRCRK_RN,30.23
1:00,PRID_RN,28.1
1:00,PROSPERO_ALL,58.33
1:00,PRO_RN,30.25
1:00,PRSPERO2_ALL,58.33
1:00,PR_PR_ALL,30.23
1:00,PSA_CC1,30.24
1:00,PSA_PSA_G1,30.24
1:00,PSA_PSA_G2,30.24
1:00,PSA_PSA_G3,30.24
1:00,PSA_PSA_G4,30.24
1:00,PSA_PSA_G5,30.23
1:00,PSA_PSA_G6,30.23
1:00,PSA_PSA_G7,30.23
1:00,PSA_PUN1,30.23
1:00,PSA_PUN2,30.23
1:00,PSA_PUN3,30.24
1:00,PSA_PUN4,30.24
1:00,PSA_PUN5,30.23
1:00,PSG_CC1,30.04
1:00,PSG_PSG_GT2,30.04
1:00,PSG_PSG_GT3,30.04
1:00,PSG_PSG_ST1,30.04
1:00,PTLBES_BESS1,32.26
1:00,PYR_PYRON1,30.94
1:00,QALSW_ALL,53.25
1:00,QALSW_CC1,53.25
1:00,QALSW_CC2,53.25
1:00,QUEEN_BA_RN,67.14
1:00,QUEEN_SL_RN,67.14
1:00,RAB_G1-8,30.23
1:00,RADN_SLR_ALL,27.29
1:00,RAMBLER_UNIT,21.91
1:00,RANCHERO_ALL,31.95
1:00,RAT_RN_1,29.76
1:00,RAYBURN_CC1,32.15
1:00,RAYB_G78910,32.15
1:00,RBN_BESS1,30.38
1:00,RDCAN_RDCNY1,34.19
1:00,REDBARN_RN,69.75
1:00,REDFISH_ALL,31.63
1:00,REDGATE_RN,31.66
1:00,RELOJ_ALL,31.65
1:00,REROCK_ALL,72.72
1:00,RHESS2_ESS1,29.96
1:00,RIGGIN_UNIT1,75.82
1:00,RIOG_ESR2_RN,31.65
1:00,RIOG_ESR_RN,31.65
1:00,RIONOG_CC1,30.56
1:00,RIONOG_CT1,30.56
1:00,RIONOG_CT2,30.56
1:00,RIONOG_CT3,30.56
1:00,RIONOG_ST1,30.56
1:00,RIPPEY_ALL,30.31
1:00,RN_APOGEE,22.22
1:00,RN_BYU_G8,30.21
1:00,RN_DEC_AGR_A,30.32
1:00,RN_DEC_AGR_B,30.32
1:00,RN_DEC_AGR_C,30.32
1:00,RN_DEC_AGR_D,30.32
1:00,RN_ECEC_HOLT,59.58
1:00,RN_OCI_ALAMO,31.36
